epoch,lr,train_loss,val_loss,test_loss,step
0.0,9.999999747378752e-05,748.538818359375,751.035400390625,21.675806045532227,62
1.0,9.999999747378752e-05,746.7910766601562,750.48974609375,21.675426483154297,125
2.0,9.999999747378752e-05,746.0009155273438,750.74560546875,21.66692543029785,188
3.0,9.999999747378752e-05,745.1456909179688,750.279052734375,21.66710662841797,251
4.0,9.999999747378752e-05,745.4418334960938,750.298583984375,21.665931701660156,314
5.0,9.999999747378752e-05,744.8658447265625,750.1044921875,21.661190032958984,377
6.0,9.999999747378752e-05,744.4296875,750.0672607421875,21.664505004882812,440
7.0,9.999999747378752e-05,746.4359130859375,749.6285400390625,21.661603927612305,503
8.0,9.999999747378752e-05,746.1915283203125,750.0803833007812,21.66069221496582,566
9.0,9.999999747378752e-05,745.7340087890625,749.6068115234375,21.660736083984375,629
10.0,9.999999747378752e-05,745.0672607421875,749.490234375,21.656375885009766,692
11.0,9.999999747378752e-05,744.8436279296875,749.436279296875,21.6591796875,755
12.0,9.999999747378752e-05,743.8779907226562,749.703369140625,21.657875061035156,818
13.0,9.999999747378752e-05,743.9189453125,749.4207763671875,21.655536651611328,881
14.0,9.999999747378752e-05,744.5515747070312,749.3836669921875,21.656715393066406,944
15.0,9.999999747378752e-05,744.26318359375,749.223876953125,21.65544891357422,1007
16.0,9.999999747378752e-05,743.5624389648438,749.1630249023438,21.65488624572754,1070
17.0,9.999999747378752e-05,743.1763916015625,749.0604248046875,21.655284881591797,1133
18.0,9.999999747378752e-05,742.7318115234375,749.3246459960938,21.653732299804688,1196
19.0,9.999999747378752e-05,745.07177734375,749.1141967773438,21.657760620117188,1259
20.0,9.999999747378752e-05,742.7678833007812,748.9808349609375,21.659433364868164,1322
21.0,9.999999747378752e-05,742.3666381835938,749.28564453125,21.661531448364258,1385
22.0,9.999999747378752e-05,741.6185302734375,748.8746337890625,21.66189193725586,1448
23.0,9.999999747378752e-05,743.0524291992188,749.10791015625,21.66875648498535,1511
24.0,9.999999747378752e-05,741.4266357421875,749.2474365234375,21.669092178344727,1574
25.0,9.999999747378752e-05,741.8731689453125,749.101806640625,21.668441772460938,1637
26.0,9.999999747378752e-05,741.7152099609375,749.1761474609375,21.673778533935547,1700
27.0,9.999999747378752e-05,740.4315185546875,749.6924438476562,21.67450714111328,1763
28.0,7.999999797903001e-05,739.489990234375,749.5895385742188,21.676298141479492,1826
29.0,7.999999797903001e-05,740.2430419921875,749.6900634765625,21.677017211914062,1889
30.0,7.999999797903001e-05,739.0535278320312,750.01123046875,21.67582130432129,1952
31.0,7.999999797903001e-05,738.4628295898438,750.2100219726562,21.679697036743164,2015
32.0,7.999999797903001e-05,739.5238037109375,750.0526123046875,21.684188842773438,2078
33.0,6.399999983841553e-05,738.2794189453125,750.544921875,21.685102462768555,2141
34.0,6.399999983841553e-05,737.138427734375,750.7745971679688,21.6895809173584,2204
35.0,6.399999983841553e-05,735.8707885742188,751.4053344726562,21.691083908081055,2267
36.0,6.399999983841553e-05,738.3692016601562,751.4485473632812,21.694210052490234,2330
37.0,6.399999983841553e-05,735.768798828125,751.339111328125,21.700206756591797,2393
38.0,5.120000059832819e-05,735.8527221679688,752.13330078125,21.70230484008789,2456
39.0,5.120000059832819e-05,736.6396484375,751.9867553710938,21.704069137573242,2519
40.0,5.120000059832819e-05,734.9842529296875,752.0045776367188,21.70598793029785,2582
41.0,5.120000059832819e-05,733.046630859375,752.6509399414062,21.709604263305664,2645
42.0,5.120000059832819e-05,734.5286254882812,752.635498046875,21.712726593017578,2708
43.0,4.095999975106679e-05,733.4663696289062,753.0341186523438,21.716564178466797,2771
44.0,4.095999975106679e-05,732.5919189453125,753.1087036132812,21.72063446044922,2834
45.0,4.095999975106679e-05,732.9026489257812,753.286865234375,21.723796844482422,2897
46.0,4.095999975106679e-05,732.9625244140625,753.4775390625,21.723445892333984,2960
47.0,4.095999975106679e-05,732.4249877929688,753.6569213867188,21.729534149169922,3023
48.0,3.276799907325767e-05,732.580322265625,753.9154052734375,21.728473663330078,3086
49.0,3.276799907325767e-05,731.6177368164062,753.903564453125,21.732948303222656,3149
50.0,3.276799907325767e-05,731.3125610351562,754.1109619140625,21.735397338867188,3212
51.0,3.276799907325767e-05,731.5398559570312,754.6424560546875,21.738807678222656,3275
52.0,3.276799907325767e-05,731.4837646484375,754.248779296875,21.7406005859375,3338
